Data,CHF,EUR,GBP,USD,GOLD
43305,3.9911,4.6367,5.2019,3.9677,156.1953
43304,4.0078,4.6512,5.2182,3.9767,157.1331
43301,4.0019,4.6562,5.2019,3.9954,157.329
43300,4.0037,4.6549,5.215,4.0128,156.9985
43299,4.0013,4.6541,5.2164,4.0032,157.4017
43298,3.9935,4.6572,5.2603,3.9685,158.6692
43297,3.9781,4.655,5.2757,3.9774,159.1016
43294,3.99,4.6589,5.2601,4.0064,159.9299
43293,4.0022,4.6596,5.2731,3.9902,159.7419
43292,4.0032,4.6607,5.2747,3.9804,160.0344
43291,4.0021,4.6587,5.2641,3.9738,160.1035
43290,4.0103,4.659,5.2793,3.9604,160.8545
43287,4.012,4.6616,5.2685,3.9821,160.6453
43286,4.017,4.6619,5.2862,3.9898,160.5949
43285,4.0349,4.6617,5.2929,4.0071,161.8927
43284,4.0232,4.6554,5.2648,3.9909,159.9228
43283,4.0324,4.661,5.2661,4.0043,160.7603
43280,4.034,4.6611,5.2626,4.0033,161.0312
43279,4.0354,4.6569,5.2745,4.0267,162.0023
43278,4.0325,4.6537,5.2814,3.9999,161.8319
43277,4.0397,4.662,5.2905,3.9981,161.5899
43276,4.0527,4.6665,5.3031,4.0058,163.4997
43273,4.0461,4.6686,5.3249,4.0026,163.3962
43272,4.0627,4.6695,5.3144,4.0518,164.616
43271,4.0467,4.666,5.3083,4.0348,165.0626
